"it","SSM","logl","sig2","K-prot","K-pat","nk1","nk2","nk3","nk4","nk5","nk1","nk2","nk3","nk4","nk5"
5380,0.945164380653631,-48990.3635065391,0.945408096590082,20,15,393,335,298,281,218,5,4,4,3,2
5390,0.944953836553447,-48977.5242540202,0.947913374666226,20,16,397,320,302,280,212,5,4,4,3,2
5400,0.946267177387663,-49049.8182686842,0.948755030513068,20,16,403,322,289,281,210,4,4,4,3,2
5410,0.945804734570149,-49024.6066101282,0.942501948609036,20,17,411,330,291,268,221,4,4,3,2,2
5420,0.944575077216284,-48956.8836776865,0.941570611972201,20,17,409,328,290,267,219,4,4,3,3,2
5430,0.94563543488733,-49015.0128365877,0.944151262352249,20,16,406,365,287,277,215,4,4,4,3,2
5440,0.946342191830815,-49054.4459150042,0.943366765142934,20,15,413,342,296,275,214,5,4,4,3,2
5450,0.944275968485788,-48940.956725357,0.949343467734268,20,15,403,344,308,267,212,5,4,4,3,2
5460,0.945107875557988,-48987.3585272553,0.938910249782873,20,16,422,320,306,264,223,4,4,4,3,2
5470,0.944964427828366,-48978.1096162482,0.94196464847445,20,15,417,318,316,266,222,5,4,4,3,2
5480,0.946726764108671,-49075.1206790091,0.947321569472738,20,15,418,337,303,267,233,5,4,4,3,2
5490,0.946295512191161,-49053.0345046001,0.945774171663641,20,15,414,345,275,262,224,5,4,4,3,2
5500,0.945671615835863,-49017.0284397966,0.950166936707022,20,16,401,341,286,264,225,5,4,4,2,2
5510,0.946114078197013,-49042.3460757999,0.940749855949372,20,15,398,341,296,266,213,5,4,4,3,2
5520,0.944605977074423,-48958.5251324802,0.945555277495381,20,15,417,337,297,265,224,5,4,4,3,2
5530,0.94482710460273,-48970.8155453342,0.94951961557538,20,15,394,343,300,264,223,5,4,4,3,2
5540,0.945981084466253,-49034.5035368524,0.949868168985411,20,15,397,360,310,258,213,5,4,4,3,2
5550,0.944988432491649,-48979.7914918668,0.941442123992859,20,17,399,361,293,262,214,4,4,3,3,2
5560,0.944558514076749,-48956.4221800085,0.944205588025552,20,16,389,344,301,270,205,4,4,3,3,2
5570,0.944958786101097,-48978.8728160818,0.944730239837273,20,16,383,359,316,268,205,4,4,3,3,2
5580,0.945070352221642,-48983.905376599,0.949803638083922,20,16,396,352,310,255,209,4,4,3,3,2
5590,0.945105441438089,-48985.8374951108,0.945198864053101,20,16,372,354,308,253,209,4,4,3,3,2
5600,0.945209974158404,-48991.7849663143,0.942322515015916,20,17,378,354,298,259,213,4,4,4,3,2
5610,0.945719327245448,-49021.6876764505,0.945968760513069,20,16,376,357,304,267,208,4,4,4,3,2
5620,0.94623232443182,-49047.715174336,0.95123587875852,20,16,366,363,305,267,208,5,4,4,3,2
5630,0.945203781027974,-48991.4408486558,0.949332614779097,20,16,362,352,298,258,207,4,4,4,3,2
5640,0.944951590895522,-48979.2492280998,0.946688476466299,20,15,369,345,303,269,209,5,4,4,3,2
5650,0.945905603256408,-49029.8293827206,0.946635632136314,20,16,391,338,304,273,209,4,4,4,3,2
5660,0.945468429459019,-49008.5129954634,0.9499525944298,20,16,391,326,309,278,214,4,4,3,3,2
5670,0.944848543334526,-48971.8332287305,0.948730690897585,20,18,387,328,311,263,221,4,4,3,2,2
5680,0.945158540561086,-48989.2982840297,0.943999193946073,20,16,398,324,297,269,221,5,4,4,3,2
5690,0.944079117433653,-48930.1964399092,0.943722195050464,20,16,396,325,286,261,224,4,4,4,3,2
5700,0.944513304922049,-48953.409668203,0.955297773567589,20,17,376,342,283,267,218,4,4,3,3,2
5710,0.944856833002419,-48973.0941924438,0.946607459699835,20,16,379,340,290,264,209,4,4,4,3,2
5720,0.945236281689672,-48993.0870045512,0.938989894117575,20,16,381,339,299,266,206,4,4,4,3,2
5730,0.945384566029218,-49001.7014475371,0.95112230245546,20,16,392,347,293,259,204,4,4,4,3,2
5740,0.945361708021626,-49000.0468348724,0.944765458762459,20,16,398,340,292,272,210,4,4,4,3,2
5750,0.945393863899617,-49003.2291947496,0.946383980888174,20,17,400,328,287,282,225,4,4,3,3,2
5760,0.943852133603858,-48918.3593075415,0.953480541715306,20,16,380,327,299,279,224,4,4,4,3,2
5770,0.944307639288085,-48944.5863782724,0.942143137791421,20,16,371,313,298,273,238,4,4,3,3,2
5780,0.94493863585276,-48976.6676026602,0.932858110386704,20,16,377,320,308,284,223,4,4,4,3,2
5790,0.945301594821872,-48996.6044727723,0.94085448407922,20,16,378,321,299,285,228,4,4,3,3,2
5800,0.946632024215222,-49069.6264034244,0.949224768008901,20,16,375,327,309,285,218,4,4,4,3,2
5810,0.945548722316783,-49010.6758470936,0.947038819578595,20,16,366,321,302,291,223,4,4,4,3,2
5820,0.944940000590046,-48976.7414553735,0.943838288166694,20,17,366,323,294,285,215,4,4,3,3,2
5830,0.945313455955697,-48997.3120744534,0.951909612742044,20,16,367,331,297,286,216,4,4,4,3,2
5840,0.945452234047125,-49005.8374763744,0.948520572989845,20,16,365,326,312,285,224,4,4,4,3,2
5850,0.94444425870924,-48949.6730762822,0.938230891317072,20,16,373,315,302,267,230,4,4,4,3,2
5860,0.945492943701907,-49007.3090411455,0.942423122630491,20,17,369,322,291,275,221,4,4,4,3,2
5870,0.94588121252683,-49028.6650129907,0.940911400367779,20,16,380,335,290,274,214,4,4,3,3,2
5880,0.945616587428006,-49014.3394204499,0.945389449922922,20,17,384,329,300,280,215,4,4,3,3,2
5890,0.944442739540677,-48949.5223047743,0.942962269254999,20,16,364,336,279,278,212,4,4,4,3,2
5900,0.943985381136503,-48924.6120315592,0.952640286801991,20,16,359,344,283,268,209,4,4,4,3,2
5910,0.945097875874526,-48985.9146219264,0.943597258562016,20,16,371,345,287,274,212,4,4,4,3,2
5920,0.944182985279585,-48935.877394244,0.944507539398145,20,16,374,332,289,276,218,4,4,4,3,2
5930,0.943974932026555,-48924.4558878956,0.945021420517625,20,16,383,354,299,272,201,4,4,4,2,2
5940,0.944468317730218,-48951.9483349384,0.949008072175721,20,16,389,339,307,275,195,4,4,4,2,2
5950,0.94458629990449,-48957.4344847707,0.945656512980928,20,16,395,343,314,272,203,4,4,4,3,2
5960,0.943998301355094,-48924.9761914241,0.943168194883523,20,16,393,336,298,263,206,4,4,4,3,2
5970,0.944961287380249,-48980.0808424516,0.938311481160505,20,16,369,349,292,275,206,4,4,4,3,2
5980,0.945092339212377,-48985.3222634104,0.951563506020348,20,16,380,352,286,275,208,4,4,4,3,2
5990,0.945321514405596,-48997.7140712449,0.943268437269848,20,16,364,354,308,279,206,4,4,4,2,2
6000,0.944856689194347,-48972.6994641886,0.946915598147089,20,16,379,334,300,280,215,4,4,4,2,2
6010,0.94490141424318,-48974.6244348732,0.94626368258391,20,15,373,339,293,277,209,4,4,4,4,2
6020,0.945476524897623,-49006.3851729748,0.936379597803206,20,15,365,352,289,276,210,4,4,4,4,2
6030,0.946368173619832,-49057.3123445639,0.957928818995952,20,15,372,355,293,284,198,4,4,4,3,3
6040,0.945292042088629,-48996.0827765735,0.9456941229059,20,16,368,334,304,287,207,4,4,4,3,3
6050,0.944936873958696,-48976.6049628485,0.948127116299933,20,15,382,329,292,287,214,4,4,4,3,3
6060,0.945526813487066,-49009.2311856022,0.9509227043805,20,15,379,340,291,276,206,4,4,4,4,2
6070,0.945841283219573,-49026.2356816606,0.946798180827369,20,16,383,323,300,265,209,4,4,4,4,2
6080,0.946655776093365,-49071.1336283199,0.950636332782929,20,17,371,334,290,280,213,4,4,4,3,2
6090,0.945285690435914,-48997.046142674,0.945271132637731,20,16,375,335,292,289,208,4,4,4,3,3
6100,0.945872792137434,-49027.9828559468,0.950930459280833,20,15,383,329,290,289,220,4,4,4,3,3
6110,0.94665225921143,-49072.1254285717,0.947740118594718,20,15,369,332,294,289,210,4,4,4,4,2
6120,0.945509850937583,-49008.0873458084,0.949498839922546,20,15,373,337,280,274,215,4,4,4,4,2
6130,0.945219932701104,-48992.3091722121,0.944095392993364,20,16,380,341,281,278,207,4,4,4,4,2
6140,0.94430538292106,-48942.1824665792,0.937432414921826,20,15,395,334,305,275,205,4,4,4,4,2
6150,0.944525906279201,-48954.0010775058,0.948039789462204,20,15,403,330,303,269,218,4,4,4,4,2
6160,0.945211434905598,-48991.7590219673,0.949046881860447,20,15,409,317,307,265,207,4,4,4,4,2
6170,0.946018355108981,-49036.3281981229,0.945068071995643,20,16,399,334,310,271,197,4,4,4,2,2
6180,0.944857586328499,-48972.3108181103,0.945968647211546,20,16,390,330,296,279,211,4,4,4,3,2
6190,0.943998010384872,-48925.4040037313,0.941901411931264,20,15,381,338,288,285,221,4,4,4,3,3
6200,0.945684395238085,-49017.7688600584,0.946211224420987,20,15,383,342,288,283,234,4,4,4,3,3
6210,0.94629814660085,-49051.353094212,0.943017190056143,20,15,413,323,292,268,235,4,4,4,4,2
6220,0.94489716970265,-48974.603683558,0.944371556243844,20,15,390,321,292,268,240,4,4,4,4,2
6230,0.9457812861168,-49023.2076789098,0.948294014513513,20,16,385,333,297,267,234,4,4,4,3,2
6240,0.945540792190133,-49009.7446035225,0.934494116081776,20,15,377,329,290,274,225,4,4,4,4,2
6250,0.944818281178745,-48971.0146965492,0.944439954645257,20,16,368,327,298,280,229,4,4,4,4,2
6260,0.944518967126537,-48953.9902406959,0.940820941204643,20,15,380,330,298,262,234,4,4,4,4,2
6270,0.943804562451163,-48914.3904878766,0.943107801590279,20,16,392,329,295,263,235,4,4,4,3,2
6280,0.944301503880444,-48941.7774450985,0.944793290979847,20,16,376,343,295,253,242,4,4,4,3,3
6290,0.945223487744582,-48992.315095314,0.941728744522696,20,16,383,345,294,255,233,4,4,4,2,2
6300,0.945008080934381,-48980.8353727362,0.956124945851004,20,15,390,355,297,255,222,4,4,4,4,2
6310,0.945364431766863,-49000.63934181,0.944778170046635,20,15,392,346,294,253,228,4,4,4,4,2
6320,0.946182455602696,-49046.0067556268,0.946442674390756,20,15,386,348,298,265,222,4,4,4,4,2
6330,0.946015218618795,-49035.9815863281,0.947074302980923,20,15,393,346,299,257,216,4,4,4,4,2
6340,0.945000869573018,-48980.3215171988,0.942270666088383,20,15,400,330,298,253,219,4,4,4,4,2
6350,0.946183319162146,-49045.4399559317,0.947966970081148,20,15,404,330,310,268,205,4,4,4,4,2
6360,0.945169997879277,-48989.3845119126,0.940983345342609,20,15,387,343,300,269,200,4,4,4,4,2
6370,0.945854566078805,-49027.407313579,0.953684665180719,20,16,387,334,292,276,211,4,4,4,3,2
6380,0.945148413392339,-48988.6050086608,0.939965495697154,20,15,386,339,294,271,212,4,4,4,4,2
6390,0.945164536424483,-48989.6435610307,0.942984758025583,20,16,384,352,303,268,212,4,4,4,4,2
6400,0.94471776444265,-48964.5309371162,0.942203480860229,20,15,394,340,303,267,196,4,4,4,4,2
6410,0.945049176720065,-48983.9233735591,0.945809905490512,20,15,371,351,299,271,198,4,4,4,3,3
6420,0.944268273040074,-48941.348289234,0.938667775601823,20,15,363,342,310,275,207,4,4,4,3,3
6430,0.946297028276099,-49051.9544059878,0.947389928172843,20,15,376,349,303,274,203,4,4,4,3,3
6440,0.945320319534139,-48999.7933276226,0.953445558040025,20,15,387,353,299,282,211,4,4,4,3,3
6450,0.945688965572179,-49017.8787494433,0.94701279918516,20,16,373,348,300,284,214,4,4,4,3,3
6460,0.945400674729325,-49002.5913053934,0.947081914360679,20,16,390,354,289,279,214,4,4,4,3,3
6470,0.944787436090333,-48968.4125592856,0.944894870609421,20,15,403,331,296,263,214,4,4,4,4,2
6480,0.94534023179603,-48998.801421051,0.942791834982484,20,15,383,326,293,269,232,4,4,4,4,2
6490,0.945446967548245,-49004.633591527,0.95283136450615,20,15,380,328,296,270,223,4,4,4,4,2
6500,0.945366685740484,-49000.4668754564,0.942091537027029,20,15,397,340,297,275,209,4,4,4,4,2
6510,0.945117517090402,-48986.5171901769,0.951925934832819,20,15,400,322,305,282,212,4,4,4,4,2
6520,0.945959529980292,-49032.9205876354,0.949845660973469,20,16,392,329,301,286,222,4,4,4,4,2
6530,0.945976022467539,-49034.013924159,0.95456029637734,20,15,394,333,302,286,220,4,4,4,4,2
6540,0.945034325829879,-48981.9663700372,0.938807406649574,20,16,395,330,301,276,233,4,4,4,4,2
6550,0.945297994043384,-48996.8433516936,0.94837172741245,20,15,404,327,308,266,225,4,4,4,4,2
6560,0.945375331748193,-49000.7623532528,0.952404918587985,20,15,405,329,319,268,226,4,4,4,4,2
6570,0.945091515746172,-48985.2846087355,0.945785895980087,20,15,404,334,296,261,236,4,4,4,4,2
6580,0.945643583093383,-49015.6929771968,0.950151599650151,20,17,388,346,296,276,233,4,4,3,3,2
6590,0.945196400598089,-48991.8873829623,0.95042595096528,20,17,388,355,300,271,222,4,4,3,3,2
6600,0.944700191264217,-48963.834212268,0.944591211953612,20,16,395,341,288,269,222,4,4,4,3,2
6610,0.94595364621619,-49033.1302597294,0.946473136946698,20,15,388,348,290,279,226,4,4,4,4,2
6620,0.945342991909529,-49001.1003959497,0.947120679649176,20,15,389,345,293,280,218,4,4,4,4,2
6630,0.944747076448985,-48966.1760344728,0.94493496940449,20,15,360,346,285,277,225,4,4,4,4,2
6640,0.944241556676546,-48938.3555535015,0.937506154125998,20,15,369,346,298,268,213,4,4,4,4,2
6650,0.945880230478678,-49028.7869314113,0.946823482118199,20,15,365,348,299,272,214,4,4,4,4,2
6660,0.944504833824626,-48952.9300165039,0.946749948675977,20,15,370,335,295,270,217,4,4,4,4,2
6670,0.944924395902573,-48975.9192132625,0.947238936190963,20,16,371,355,299,270,213,4,4,4,3,2
6680,0.945122013014294,-48986.9945513986,0.951859931277604,20,16,374,347,303,273,212,4,4,4,3,2
6690,0.945367874993458,-49000.5520065605,0.946892787256522,20,15,375,358,300,269,213,4,4,4,4,2
6700,0.944526976735712,-48954.0938043708,0.944921576382425,20,16,372,355,305,273,206,4,4,4,4,2
6710,0.945244571776214,-48993.5049362148,0.940588316772054,20,15,378,350,300,273,211,4,4,4,4,2
6720,0.945511662923495,-49008.6976119365,0.940643549016032,20,15,388,343,290,263,216,4,4,4,3,3
6730,0.945753491283342,-49021.7240548684,0.940815795758634,20,15,398,341,296,261,209,4,4,4,3,3
6740,0.945266638775952,-48994.6950924953,0.94732663224831,20,16,391,335,298,269,226,4,4,3,3,3
6750,0.944943508830927,-48977.1991710085,0.945853282336535,20,15,385,333,306,278,212,4,4,4,3,3
6760,0.943494868101442,-48897.6368940761,0.942119621787369,20,15,381,321,315,266,225,4,4,4,3,3
6770,0.945182365736687,-48990.0553647005,0.94089842633197,20,17,397,340,318,263,217,4,4,4,3,2
6780,0.944721118041513,-48964.8071801874,0.947836092183387,20,15,402,327,307,261,212,4,4,4,3,3
6790,0.945227127563513,-48992.659835806,0.946191124386978,20,16,408,326,293,271,221,4,4,3,3,2
6800,0.945157538909118,-48988.7421630826,0.947700020425303,20,15,402,329,292,279,212,4,4,4,3,3
6810,0.945431687170472,-49004.8503246161,0.939414334591713,20,15,400,352,297,274,203,4,4,4,4,2
6820,0.944860422097935,-48974.5308917659,0.941679407840754,20,16,388,346,303,289,199,4,4,4,3,2
6830,0.944784962855409,-48968.2570301868,0.942645451789616,20,15,393,354,288,283,203,4,4,4,4,2
6840,0.944782457428683,-48968.0852887018,0.949192101689902,20,16,413,351,291,273,207,4,4,4,2,2
6850,0.945182984565021,-48990.0890676198,0.938295634385714,20,15,422,345,308,273,201,4,4,4,4,2
6860,0.945748631450851,-49021.1848840892,0.949719719024856,20,15,396,355,301,279,202,4,4,4,4,2
6870,0.944668198271549,-48962.1245166273,0.946545733663114,20,15,375,359,305,270,206,4,4,4,4,2
6880,0.944445277633498,-48949.8714884106,0.939241475809966,20,16,401,349,301,267,214,4,4,4,4,2
6890,0.945422384442932,-49005.4715850546,0.941873442423892,20,15,406,332,293,258,214,4,4,4,4,2
6900,0.944615752895164,-48959.6567308946,0.952564274640526,20,15,409,328,296,256,217,4,4,4,4,2
6910,0.94467263498814,-48962.5033682967,0.944495076528578,20,16,412,331,294,274,213,4,4,4,3,2
6920,0.944862164686938,-48972.4986717826,0.945719394458909,20,16,411,338,304,271,210,4,4,4,4,2
6930,0.944265268768443,-48942.2298414378,0.948654984130483,20,16,395,356,309,270,204,4,4,4,2,2
6940,0.944484689346736,-48952.0086982111,0.944399746059531,20,16,393,349,323,261,203,4,4,4,4,2
6950,0.945270699220135,-48995.4495361631,0.947910575821765,20,15,409,360,311,254,206,4,4,4,4,2
6960,0.945515017701636,-49008.3907291201,0.941818667976679,20,15,416,345,299,262,226,4,4,4,4,2
6970,0.945244039929215,-48993.5559789051,0.942972490880658,20,16,427,344,299,259,222,4,4,4,3,3
6980,0.94469467220558,-48963.5031171181,0.943000667445917,20,15,416,361,292,260,220,4,4,4,4,2
6990,0.945235177340915,-48993.0892516207,0.939826124593243,20,15,397,344,294,276,220,4,4,4,4,2
7000,0.943913479443335,-48920.825779967,0.939903460143568,20,16,401,347,304,273,212,4,4,4,4,2
7010,0.945967734086156,-49033.1764386174,0.942150342330671,20,15,398,364,277,266,217,4,4,4,4,2
7020,0.945633124865165,-49015.1637789576,0.944132956653452,20,16,396,369,279,267,208,4,4,4,2,2
7030,0.946079416476891,-49040.5434778405,0.939423209381022,20,15,385,376,285,266,209,4,4,4,4,2
7040,0.945447406493759,-49005.2141058088,0.942010377792941,20,15,400,360,297,269,205,4,4,4,4,2
7050,0.946197254539883,-49046.731311199,0.94526320122113,20,15,396,340,283,264,219,4,4,4,4,2
7060,0.945661674221895,-49016.3804214134,0.947021628257011,20,15,406,327,300,259,222,4,4,4,4,2
7070,0.944329079043074,-48944.2452059233,0.945454779421792,20,15,397,333,302,261,212,4,4,4,4,2
7080,0.944339335476216,-48943.8696990334,0.94602204223944,20,15,391,340,307,271,213,4,4,4,4,2
7090,0.945013471925472,-48980.7862691189,0.945368538860379,20,15,401,349,298,257,215,4,4,4,4,2
7100,0.946367948043442,-49056.3231754799,0.943187206983021,20,15,383,353,304,273,219,4,4,4,4,2
7110,0.947021504633139,-49091.3200533887,0.956914766063528,20,16,366,362,300,278,214,4,4,4,4,2
7120,0.945845007927298,-49026.4457364353,0.944167566120827,20,15,383,354,290,266,222,4,4,4,4,2
7130,0.944430987017348,-48950.0641123375,0.955976577046924,20,15,379,347,294,260,226,4,4,4,4,2
7140,0.946058996719318,-49038.5254135043,0.945887560259228,20,15,394,340,296,263,228,4,4,4,4,2
7150,0.945852596777515,-49026.8604926522,0.938625788602629,20,15,398,328,292,262,236,4,4,4,4,2
7160,0.945213089094652,-48992.0593755628,0.948969107683836,20,15,377,331,300,275,228,4,4,4,4,2
7170,0.946186281373273,-49045.1895917788,0.945902493141616,20,15,389,325,298,265,244,4,4,4,4,2
7180,0.945332432045764,-48998.2996165611,0.941320871793426,20,15,381,344,300,268,231,4,4,4,4,2
7190,0.944485307854586,-48952.0702672632,0.940304610557972,20,15,391,345,288,261,231,4,4,4,4,2
7200,0.94551163333737,-49008.3425235657,0.945480863461035,20,15,400,334,292,253,225,4,4,4,4,2
7210,0.944973004420755,-48979.6439423772,0.95357305468634,20,16,401,325,288,266,231,4,4,4,4,2
7220,0.945095810292301,-48986.7677916496,0.948140058891144,20,15,384,345,297,271,208,4,4,4,4,2
7230,0.944871069671464,-48973.1966608652,0.942338594385908,20,16,389,345,292,264,215,4,4,4,3,2
7240,0.945453928274461,-49004.9776130789,0.946539048453795,20,15,378,356,293,289,224,4,4,4,4,2
7250,0.945835905028872,-49026.0219319767,0.938664900293862,20,15,383,345,299,285,219,4,4,4,4,2
7260,0.944967094063515,-48978.898428176,0.941714777672516,20,15,382,347,290,265,209,4,4,4,4,2
7270,0.944449410561985,-48950.5594157901,0.942781272470096,20,15,367,351,276,272,223,4,4,4,4,2
7280,0.945360043240386,-49000.2770107082,0.949725090169696,20,15,380,331,283,269,226,4,4,4,4,2
7290,0.945313083451493,-48997.3239947399,0.937381810763567,20,15,381,344,273,270,224,4,4,4,4,2
7300,0.944874451584962,-48974.2502980495,0.944880935192287,20,15,378,336,290,287,225,4,4,4,4,2
7310,0.945079219478148,-48985.8227802719,0.944756157620489,20,15,377,339,290,278,221,4,4,4,4,2
7320,0.944954039076461,-48978.066172902,0.94558653252947,20,15,390,317,298,269,221,4,4,4,4,2
7330,0.944200870589538,-48936.1154734954,0.936009915962505,20,15,389,329,295,268,219,4,4,4,4,2
7340,0.945594728166265,-49013.109129026,0.947979203630564,20,15,403,324,297,259,226,4,4,4,4,2
7350,0.945846017623525,-49026.5188151223,0.945597404924662,20,15,398,327,289,275,231,4,4,4,4,2
7360,0.944681868666253,-48962.5947523478,0.940807466542808,20,15,391,339,292,277,227,4,4,4,3,3
7370,0.94477143912622,-48969.6959985075,0.940664446684554,20,16,398,328,302,274,222,4,4,4,2,2
7380,0.945407000431472,-49002.6162247417,0.942687619804162,20,15,395,319,300,267,236,4,4,4,4,2
7390,0.945553903221439,-49011.0332333744,0.948079589022761,20,15,396,316,308,258,222,4,4,4,4,2
7400,0.945032930419911,-48982.5544250721,0.949321045253116,20,15,372,337,307,270,225,4,4,4,4,2
7410,0.9458768535316,-49028.8009780055,0.947431319742291,20,16,397,317,297,278,226,4,4,4,4,2
7420,0.944901376831241,-48974.6188479954,0.943139706528976,20,16,397,337,290,272,226,4,4,4,4,2
7430,0.94504226516055,-48982.3679105751,0.94428713717385,20,15,396,340,274,259,226,4,4,4,4,2
7440,0.944762920972156,-48967.2086462692,0.952927864758908,20,16,390,338,278,259,235,4,4,4,4,2
7450,0.944284423344402,-48940.7809308147,0.94763264860426,20,16,376,339,288,262,234,4,4,4,3,2
7460,0.944477674179986,-48951.4562429157,0.942749799824634,20,17,373,333,285,252,238,4,4,4,3,2
7470,0.944741768822511,-48965.8625810447,0.952911524567749,20,16,378,337,300,258,228,4,4,4,3,2
7480,0.945434347814819,-49004.7027957204,0.941016420479814,20,16,380,326,298,253,222,4,4,4,3,2
7490,0.945985045284934,-49035.5191155586,0.94422303947935,20,16,375,326,301,261,230,4,4,4,3,2
7500,0.945612741865154,-49013.7110814468,0.941785147729982,20,16,371,329,313,260,227,4,4,4,3,2
7510,0.944298578081634,-48941.5377441997,0.941752316409988,20,16,359,337,293,271,226,4,4,4,3,2
7520,0.94490748604705,-48975.7406440962,0.94232412287339,20,15,394,336,269,254,226,4,4,4,4,2
7530,0.944447128844855,-48951.7429588627,0.943008254588843,20,15,374,344,280,277,221,4,4,4,4,2
7540,0.94464192360268,-48960.7737333081,0.945431896007024,20,16,390,345,295,272,235,4,4,4,3,2
7550,0.945448158899482,-49004.7356721348,0.940437301654656,20,15,385,333,294,265,233,4,4,4,4,2
7560,0.944202011517847,-48938.8081312083,0.944343376532295,20,15,404,337,293,263,226,4,4,4,4,2
7570,0.94445203772117,-48950.3527975774,0.947561730298123,20,15,420,316,307,254,233,4,4,4,3,3
7580,0.94503968733702,-48982.4452196915,0.946013931474449,20,15,404,321,302,263,239,4,4,4,3,3
7590,0.943873629655353,-48918.1242181562,0.942174362461384,20,15,396,323,302,270,225,4,4,4,4,2
7600,0.944528792841231,-48954.3175454366,0.944475451551067,20,15,391,323,304,276,230,4,4,4,4,2
7610,0.944199699538143,-48936.202014309,0.936850313602723,20,16,390,348,285,279,220,4,4,4,3,2
7620,0.945756776441748,-49021.5976511993,0.94375327814767,20,15,381,368,293,271,216,4,4,4,4,2
7630,0.94568501529847,-49017.657254366,0.945451625156155,20,15,407,323,300,282,227,4,4,4,4,2
7640,0.945902551161929,-49029.6736926092,0.949289414481685,20,15,399,336,303,277,212,4,4,4,4,2
7650,0.944895909198332,-48975.4249078936,0.941168650648558,20,15,395,326,301,275,229,4,4,4,3,3
7660,0.944885241825469,-48973.7963563064,0.941421827209365,20,16,406,328,302,268,223,4,4,4,3,3
7670,0.945362679656519,-49000.2950514581,0.941524620257748,20,15,410,327,297,263,230,4,4,4,3,3
7680,0.945077935870571,-48984.325906593,0.948059178319262,20,15,408,345,295,261,224,4,4,4,4,2
7690,0.945135985839848,-48987.6065194263,0.944224408794533,20,16,402,332,307,262,238,4,4,4,4,2
7700,0.945183810194489,-48990.139061612,0.939907216554548,20,15,394,333,308,260,240,4,4,4,4,2
7710,0.944603319326685,-48958.3541793079,0.949078271081885,20,16,392,334,304,272,230,4,4,4,4,2
7720,0.945757049558475,-49021.9008476549,0.947928559011037,20,15,393,338,302,272,219,4,4,4,4,2
7730,0.944324258211379,-48944.3863346784,0.942994191417311,20,15,393,325,313,279,218,4,4,4,4,2
7740,0.944746807133911,-48966.2404047718,0.938286175625234,20,15,392,330,304,287,218,4,4,4,4,2
7750,0.945130679357323,-48987.3130787282,0.938830725261055,20,15,394,331,288,275,230,4,4,4,4,2
7760,0.945233995270356,-48992.9099184626,0.946998418942018,20,15,385,339,299,261,220,4,4,4,4,2
7770,0.94492270190868,-48975.8280869738,0.943367308308253,20,15,371,349,293,272,215,4,4,4,4,2
7780,0.945098872112037,-48985.4731149529,0.948870890757778,20,15,384,340,288,263,222,4,4,4,4,2
7790,0.944925117008979,-48976.2841657221,0.94878005055741,20,16,387,354,295,266,224,4,4,4,4,2
7800,0.945905737361821,-49030.4577912765,0.948318560423787,20,15,400,337,289,263,220,4,4,4,4,2
7810,0.945357546712184,-48999.9305558988,0.94691771494933,20,15,390,344,290,262,205,4,4,4,4,2
7820,0.944391717080178,-48946.6428325239,0.937273781814261,20,15,396,345,284,263,204,4,4,4,4,2
7830,0.945224112226295,-48993.0170046338,0.947831569576147,20,15,405,328,285,267,213,4,4,4,4,2
7840,0.944626804868529,-48959.6624250711,0.944603477952003,20,15,395,338,292,265,210,4,4,4,4,2
7850,0.944427610273088,-48949.7595964785,0.95186395656725,20,15,402,329,295,271,218,4,4,4,4,2
7860,0.944853044035347,-48973.371128214,0.942149754445483,20,15,409,333,298,269,220,4,4,4,4,2
7870,0.945751810921781,-49026.3156940031,0.942558854791745,20,16,391,338,297,268,219,4,4,4,3,2
7880,0.945449325448247,-49004.7343730699,0.942147846082024,20,16,413,330,289,259,215,4,4,4,3,2
7890,0.944242329046412,-48940.6654250783,0.948120347792625,20,16,386,348,277,255,217,4,4,4,2,2
7900,0.945091149955309,-48985.9588875106,0.939393784649775,20,15,398,339,279,258,205,4,4,4,4,2
7910,0.945319923125454,-48997.782218826,0.940020180272305,20,15,400,342,280,254,207,4,4,4,3,3
7920,0.94490124560412,-48976.3956025415,0.939266633410955,20,15,408,366,294,262,193,4,4,4,4,2
7930,0.945352028738856,-48999.8717210819,0.938408763866864,20,15,399,355,297,255,196,4,4,4,4,2
7940,0.945172762734918,-48989.7714626706,0.94033449983984,20,15,388,356,302,259,204,4,4,4,4,2
7950,0.944374917488128,-48946.0530922731,0.946213931252733,20,16,382,362,303,264,213,4,4,4,4,2
7960,0.945083887053377,-48984.708155515,0.944087239006356,20,15,379,362,301,260,211,4,4,4,4,2
7970,0.944867596612672,-48973.9153687406,0.936153550949486,20,15,384,362,289,258,209,4,4,4,4,2
7980,0.944915314798334,-48975.734887284,0.950000951807217,20,15,398,352,291,276,206,4,4,4,4,2
7990,0.94628132184807,-49051.4439662454,0.955054258570555,20,16,422,345,301,262,210,4,4,4,4,2
8000,0.944761533935242,-48967.4794562106,0.946018024045557,20,15,393,365,307,249,212,4,4,4,4,2
8010,0.944745697076578,-48966.422952472,0.940062252595469,20,15,398,356,300,244,211,4,4,4,4,2
8020,0.94517547878683,-48990.0899641919,0.951800491470254,20,16,393,352,293,248,219,4,4,4,4,2
8030,0.944683989871087,-48963.1557806428,0.947319736983937,20,16,391,371,286,250,222,4,4,4,3,2
8040,0.945027370526836,-48981.6078944819,0.944278115834401,20,15,380,372,301,254,210,4,4,4,4,2
8050,0.944753369112521,-48967.2562541159,0.942007024618199,20,15,385,370,297,261,215,4,4,4,4,2
